County,State,Date,EV_Total_Pred
Ada,ID,2024-01-31,1.9598375318149692
Adams,CO,2024-01-31,1.123472179976457
Adams,WA,2024-01-31,50.06583333333333
Alameda,CA,2024-01-31,3.6891798975591557
Albemarle,VA,2024-01-31,1.9598375318149692
Alexandria,VA,2024-01-31,2.8643766286402514
Allegheny,PA,2024-01-31,1.123472179976457
Allen,IN,2024-01-31,1.8951658228375399
Anchorage,AK,2024-01-31,1.123472179976457
Anne Arundel,MD,2024-01-31,49.028888888888886
Arapahoe,CO,2024-01-31,1.9598375318149692
Arlington,VA,2024-01-31,1.123472179976457
Asotin,WA,2024-01-31,65.86333333333333
Atlantic,NJ,2024-01-31,1.123472179976457
Autauga,AL,2024-01-31,9.185501652532212
Baltimore,MD,2024-01-31,1.123472179976457
Bartow,GA,2024-01-31,1.123472179976457
Beaufort,SC,2024-01-31,1.123472179976457
Bell,TX,2024-01-31,1.123472179976457
Benton,WA,2024-01-31,1706.9966666666667
Bergen,NJ,2024-01-31,1.123472179976457
Berkeley,SC,2024-01-31,1.9598375318149692
Berkshire,MA,2024-01-31,1.123472179976457
Bernalillo,NM,2024-01-31,1.123472179976457
Bexar,TX,2024-01-31,2.8643766286402514
Boone,MO,2024-01-31,1.123472179976457
Boulder,CO,2024-01-31,1.123472179976457
Bradley,TN,2024-01-31,1.123472179976457
Brevard,FL,2024-01-31,1.123472179976457
Broward,FL,2024-01-31,1.123472179976457
Bryan,GA,2024-01-31,1.123472179976457
Bucks,PA,2024-01-31,1.123472179976457
Burlington,NJ,2024-01-31,1.9598375318149692
Caddo,LA,2024-01-31,1.9598375318149692
Calvert,MD,2024-01-31,1.9598375318149692
Camden,NJ,2024-01-31,1.123472179976457
Canyon,ID,2024-01-31,1.123472179976457
Carroll,MD,2024-01-31,1.123472179976457
Carroll,NH,2024-01-31,1.123472179976457
Carson City,NV,2024-01-31,1.123472179976457
Cascade,MT,2024-01-31,1.123472179976457
Champaign,IL,2024-01-31,1.123472179976457
Charles,MD,2024-01-31,1.9598375318149692
Charleston,SC,2024-01-31,2.8643766286402514
Charlottesville,VA,2024-01-31,1.123472179976457
Chelan,WA,2024-01-31,409.7133333333333
Chesapeake,VA,2024-01-31,2.8643766286402514
Clackamas,OR,2024-01-31,1.123472179976457
Clallam,WA,2024-01-31,5933.6866666666665
Clark,NV,2024-01-31,49.028888888888886
Clark,WA,2024-01-31,3822.0933333333332
Clay,FL,2024-01-31,1.123472179976457
Clinton,PA,2024-01-31,1.123472179976457
Cobb,GA,2024-01-31,1.123472179976457
Cochise,AZ,2024-01-31,1.123472179976457
Collier,FL,2024-01-31,1.123472179976457
Collin,TX,2024-01-31,2.589445958282496
Columbia,OR,2024-01-31,1.123472179976457
Columbia,WA,2024-01-31,9.383333333333333
Contra Costa,CA,2024-01-31,3.6891798975591557
Cook,IL,2024-01-31,3.58372249241986
Coryell,TX,2024-01-31,1.123472179976457
Cowlitz,WA,2024-01-31,641.4866666666667
Cumberland,NC,2024-01-31,9.429888703888704
Cumberland,PA,2024-01-31,1.9598375318149692
Currituck,NC,2024-01-31,1.123472179976457
Dakota,MN,2024-01-31,1.123472179976457
Dale,AL,2024-01-31,1.123472179976457
Dallas,IA,2024-01-31,1.123472179976457
Dallas,TX,2024-01-31,1.123472179976457
Dane,WI,2024-01-31,1.123472179976457
Danville,VA,2024-01-31,1.123472179976457
DeKalb,GA,2024-01-31,1.123472179976457
DeKalb,IN,2024-01-31,1.123472179976457
Denton,TX,2024-01-31,1.123472179976457
Denver,CO,2024-01-31,1.123472179976457
Deschutes,OR,2024-01-31,1.123472179976457
District of Columbia,DC,2024-01-31,2.8643766286402514
Dorchester,SC,2024-01-31,1.123472179976457
Douglas,CO,2024-01-31,1.123472179976457
Douglas,NE,2024-01-31,1.123472179976457
Douglas,OR,2024-01-31,1.123472179976457
Douglas,WA,2024-01-31,267.0111111111111
DuPage,IL,2024-01-31,2.8643766286402514
Durham,NC,2024-01-31,1.123472179976457
Duval,FL,2024-01-31,1.0207457824337054
Eagle,CO,2024-01-31,1.123472179976457
Eau Claire,WI,2024-01-31,1.123472179976457
El Dorado,CA,2024-01-31,1.123472179976457
El Paso,CO,2024-01-31,4.907864052614054
El Paso,TX,2024-01-31,2.8643766286402514
Escambia,FL,2024-01-31,1.123472179976457
Essex,MA,2024-01-31,1.123472179976457
Essex,NJ,2024-01-31,9.185501652532212
Fairbanks North Star,AK,2024-01-31,1.123472179976457
Fairfax,VA,2024-01-31,116.27
Ferry,WA,2024-01-31,25.3
Flathead,MT,2024-01-31,1.123472179976457
Fort Bend,TX,2024-01-31,1.123472179976457
Franklin,MA,2024-01-31,1.123472179976457
Franklin,OH,2024-01-31,1.123472179976457
Franklin,WA,2024-01-31,119.64333333333333
Frederick,MD,2024-01-31,2.589445958282496
Fresno,CA,2024-01-31,1.123472179976457
Fulton,GA,2024-01-31,1.123472179976457
Galveston,TX,2024-01-31,1.123472179976457
Garfield,OK,2024-01-31,1.123472179976457
Garfield,WA,2024-01-31,2.1370833333333334
Geary,KS,2024-01-31,1.123472179976457
Goochland,VA,2024-01-31,1.123472179976457
Grant,WA,2024-01-31,322.31333333333333
Grays Harbor,WA,2024-01-31,394.05
Greene,MO,2024-01-31,1.123472179976457
Greene,OH,2024-01-31,1.123472179976457
Guadalupe,TX,2024-01-31,1.123472179976457
Guilford,NC,2024-01-31,1.123472179976457
Gwinnett,GA,2024-01-31,1.123472179976457
Hamilton,IN,2024-01-31,1.123472179976457
Hamilton,OH,2024-01-31,1.8951658228375399
Hamilton,TN,2024-01-31,1.123472179976457
Hampshire,MA,2024-01-31,1.123472179976457
Hardin,KY,2024-01-31,1.123472179976457
Harford,MD,2024-01-31,1.9598375318149692
Harnett,NC,2024-01-31,3.6891798975591557
Harris,TX,2024-01-31,2.589445958282496
Harrison,MS,2024-01-31,1.123472179976457
Hawaii,HI,2024-01-31,1.123472179976457
Hennepin,MN,2024-01-31,1.123472179976457
Henrico,VA,2024-01-31,1.123472179976457
Hidalgo,TX,2024-01-31,1.123472179976457
Hillsborough,FL,2024-01-31,3.6891798975591557
Honolulu,HI,2024-01-31,8.554666666666668
Houston,GA,2024-01-31,1.123472179976457
Howard,IN,2024-01-31,1.123472179976457
Howard,MD,2024-01-31,1.9598375318149692
Hudson,NJ,2024-01-31,1.123472179976457
Island,WA,2024-01-31,2082.89
Jackson,MO,2024-01-31,1.123472179976457
Jackson,OK,2024-01-31,1.123472179976457
James City,VA,2024-01-31,1.123472179976457
Jefferson,CO,2024-01-31,1.123472179976457
Jefferson,NY,2024-01-31,2.8643766286402514
Jefferson,WA,2024-01-31,449.0933333333333
Jones,GA,2024-01-31,1.123472179976457
Juneau,AK,2024-01-31,1.123472179976457
Kalamazoo,MI,2024-01-31,1.123472179976457
Kauai,HI,2024-01-31,1.123472179976457
Kent,DE,2024-01-31,1.123472179976457
Kent,MI,2024-01-31,1.123472179976457
Kern,CA,2024-01-31,1.9598375318149692
King,WA,2024-01-31,37694.24
Kings,CA,2024-01-31,3.58372249241986
Kings,NY,2024-01-31,1.123472179976457
Kitsap,WA,2024-01-31,1130.85
Kittitas,WA,2024-01-31,495.16
Klamath,OR,2024-01-31,1.123472179976457
Klickitat,WA,2024-01-31,913.3833333333333
Kootenai,ID,2024-01-31,1.123472179976457
Lake,CA,2024-01-31,1.123472179976457
Lake,FL,2024-01-31,1.123472179976457
Lake,IL,2024-01-31,8.554666666666668
Lake,IN,2024-01-31,1.123472179976457
Lane,OR,2024-01-31,1.0207457824337054
Laramie,WY,2024-01-31,1.123472179976457
Larimer,CO,2024-01-31,1.123472179976457
Las Animas,CO,2024-01-31,1.123472179976457
Latah,ID,2024-01-31,1.123472179976457
Leavenworth,KS,2024-01-31,1.123472179976457
Lee,AL,2024-01-31,1.123472179976457
Lee,FL,2024-01-31,1.123472179976457
Lewis,NY,2024-01-31,1.123472179976457
Lewis,WA,2024-01-31,493.76
Lincoln,OR,2024-01-31,1.123472179976457
Lincoln,WA,2024-01-31,46.60333333333333
Los Angeles,CA,2024-01-31,45.30055555555556
Loudoun,VA,2024-01-31,2.8643766286402514
Louisa,VA,2024-01-31,1.123472179976457
Lumpkin,GA,2024-01-31,1.123472179976457
Madison,ID,2024-01-31,1.123472179976457
Madison,IL,2024-01-31,1.123472179976457
Manassas,VA,2024-01-31,1.123472179976457
Manatee,FL,2024-01-31,1.123472179976457
Maricopa,AZ,2024-01-31,49.028888888888886
Marin,CA,2024-01-31,1.9598375318149692
Marion,IA,2024-01-31,1.123472179976457
Marion,IN,2024-01-31,1.123472179976457
Marion,OR,2024-01-31,1.123472179976457
Mason,WA,2024-01-31,411.79
Maui,HI,2024-01-31,1.123472179976457
Meade,KY,2024-01-31,1.123472179976457
Mecklenburg,NC,2024-01-31,1.123472179976457
Mercer,NJ,2024-01-31,1.123472179976457
Miami-Dade,FL,2024-01-31,1.123472179976457
Middlesex,MA,2024-01-31,2.8643766286402514
Middlesex,NJ,2024-01-31,1.123472179976457
Milwaukee,WI,2024-01-31,1.123472179976457
Missoula,MT,2024-01-31,1.123472179976457
Mobile,AL,2024-01-31,1.123472179976457
Monroe,IL,2024-01-31,1.123472179976457
Monroe,NY,2024-01-31,1.123472179976457
Monterey,CA,2024-01-31,2.9023809523809523
Montgomery,AL,2024-01-31,1.123472179976457
Montgomery,MD,2024-01-31,45.30055555555556
Montgomery,OH,2024-01-31,1.123472179976457
Montgomery,PA,2024-01-31,1.123472179976457
Montgomery,TN,2024-01-31,1.123472179976457
Montgomery,TX,2024-01-31,1.123472179976457
Moore,NC,2024-01-31,1.123472179976457
Morris,NJ,2024-01-31,1.123472179976457
Multnomah,OR,2024-01-31,1.9598375318149692
Muscogee,GA,2024-01-31,1.123472179976457
Nantucket,MA,2024-01-31,1.123472179976457
Napa,CA,2024-01-31,1.123472179976457
Nassau,FL,2024-01-31,1.123472179976457
Nassau,NY,2024-01-31,1.9598375318149692
New Haven,CT,2024-01-31,1.9598375318149692
New London,CT,2024-01-31,3.6891798975591557
New York,NY,2024-01-31,1.123472179976457
Newport,RI,2024-01-31,1.123472179976457
Newport News,VA,2024-01-31,1.123472179976457
Norfolk,MA,2024-01-31,1.123472179976457
Norfolk,VA,2024-01-31,1.123472179976457
Northampton,PA,2024-01-31,1.123472179976457
Nueces,TX,2024-01-31,9.185501652532212
Okaloosa,FL,2024-01-31,1.123472179976457
Okanogan,WA,2024-01-31,527.9366666666666
Oklahoma,OK,2024-01-31,1.123472179976457
Oldham,KY,2024-01-31,1.123472179976457
Onslow,NC,2024-01-31,1.123472179976457
Orange,CA,2024-01-31,3.0733333333333333
Orange,FL,2024-01-31,1.123472179976457
Orange,NC,2024-01-31,1.123472179976457
Orleans,LA,2024-01-31,1.123472179976457
Osceola,FL,2024-01-31,1.123472179976457
Otero,NM,2024-01-31,1.123472179976457
Owyhee,ID,2024-01-31,1.123472179976457
Pacific,WA,2024-01-31,227.66
Palm Beach,FL,2024-01-31,1.123472179976457
Parker,TX,2024-01-31,1.123472179976457
Pend Oreille,WA,2024-01-31,49.37416666666667
Pennington,SD,2024-01-31,1.9598375318149692
Penobscot,ME,2024-01-31,1.123472179976457
Philadelphia,PA,2024-01-31,1.123472179976457
Pierce,WA,2024-01-31,6601.4766666666665
Pima,AZ,2024-01-31,1.123472179976457
Pinal,AZ,2024-01-31,1.123472179976457
Pinellas,FL,2024-01-31,1.123472179976457
Pitt,NC,2024-01-31,1.123472179976457
Placer,CA,2024-01-31,1.123472179976457
Plaquemines,LA,2024-01-31,1.9598375318149692
Platte,MO,2024-01-31,1.9598375318149692
Polk,FL,2024-01-31,1.123472179976457
Polk,OR,2024-01-31,1.9598375318149692
Portsmouth,VA,2024-01-31,1.123472179976457
Powhatan,VA,2024-01-31,1.123472179976457
Prince George,VA,2024-01-31,1.123472179976457
Prince George's,MD,2024-01-31,3.6891798975591557
Prince William,VA,2024-01-31,8.727567639217792
Providence,RI,2024-01-31,1.123472179976457
Pulaski,AR,2024-01-31,1.9598375318149692
Pulaski,MO,2024-01-31,1.123472179976457
Putnam,TN,2024-01-31,1.123472179976457
Queens,NY,2024-01-31,1.123472179976457
Ramsey,MN,2024-01-31,1.123472179976457
Randolph,NC,2024-01-31,1.123472179976457
Ray,MO,2024-01-31,1.123472179976457
Richland,SC,2024-01-31,1.123472179976457
Richmond,NY,2024-01-31,1.123472179976457
Riverside,CA,2024-01-31,3.6891798975591557
Rock Island,IL,2024-01-31,1.123472179976457
Rockdale,GA,2024-01-31,1.123472179976457
Rockingham,NH,2024-01-31,1.123472179976457
Rogers,OK,2024-01-31,1.123472179976457
RÃ­o Grande,PR,2024-01-31,1.123472179976457
Sacramento,CA,2024-01-31,1.0207457824337054
Saginaw,MI,2024-01-31,1.123472179976457
Salt Lake,UT,2024-01-31,1.9598375318149692
San Bernardino,CA,2024-01-31,2.8643766286402514
San Diego,CA,2024-01-31,205.35666666666665
San Francisco,CA,2024-01-31,1.123472179976457
San Joaquin,CA,2024-01-31,1.123472179976457
San Juan,PR,2024-01-31,1.123472179976457
San Juan,WA,2024-01-31,492.1166666666667
San Luis Obispo,CA,2024-01-31,1.123472179976457
San Mateo,CA,2024-01-31,1.9598375318149692
Sangamon,IL,2024-01-31,1.123472179976457
Santa Barbara,CA,2024-01-31,1.123472179976457
Santa Clara,CA,2024-01-31,49.41111111111111
Santa Cruz,CA,2024-01-31,1.123472179976457
Santa Fe,NM,2024-01-31,1.123472179976457
Santa Rosa,FL,2024-01-31,1.123472179976457
Sarasota,FL,2024-01-31,1.123472179976457
Saratoga,NY,2024-01-31,1.9598375318149692
Sarpy,NE,2024-01-31,1.123472179976457
Sedgwick,KS,2024-01-31,1.123472179976457
Sevier,AR,2024-01-31,1.123472179976457
Shasta,CA,2024-01-31,1.123472179976457
Shelby,AL,2024-01-31,1.123472179976457
Shelby,OH,2024-01-31,1.123472179976457
Shelby,TN,2024-01-31,1.123472179976457
Sheridan,WY,2024-01-31,1.123472179976457
Shoshone,ID,2024-01-31,1.123472179976457
Skagit,WA,2024-01-31,630.4333333333333
Skamania,WA,2024-01-31,76.06666666666666
Snohomish,WA,2024-01-31,8887.736666666666
Solano,CA,2024-01-31,3.6891798975591557
Sonoma,CA,2024-01-31,2.8643766286402514
Spartanburg,SC,2024-01-31,1.123472179976457
Spokane,WA,2024-01-31,900.1166666666667
Spotsylvania,VA,2024-01-31,1.123472179976457
St. Clair,IL,2024-01-31,1.123472179976457
St. Lawrence,NY,2024-01-31,1.123472179976457
St. Louis,MN,2024-01-31,1.123472179976457
St. Louis,MO,2024-01-31,1.123472179976457
St. Lucie,FL,2024-01-31,1.123472179976457
St. Mary's,MD,2024-01-31,1.123472179976457
Stafford,VA,2024-01-31,2.8643766286402514
Stevens,WA,2024-01-31,102.69638888888888
Suffolk,MA,2024-01-31,1.123472179976457
Suffolk,VA,2024-01-31,1.123472179976457
Sumter,FL,2024-01-31,1.123472179976457
Sumter,SC,2024-01-31,1.123472179976457
Tarrant,TX,2024-01-31,1.0207457824337054
Texas,MO,2024-01-31,1.123472179976457
Thurston,WA,2024-01-31,961.0266666666666
Tooele,UT,2024-01-31,1.123472179976457
Travis,TX,2024-01-31,1.123472179976457
Tulare,CA,2024-01-31,1.123472179976457
Tulsa,OK,2024-01-31,1.123472179976457
Twin Falls,ID,2024-01-31,1.123472179976457
Ulster,NY,2024-01-31,1.123472179976457
Utah,UT,2024-01-31,1.123472179976457
Valencia,NM,2024-01-31,1.123472179976457
Ventura,CA,2024-01-31,4.907864052614054
Vigo,IN,2024-01-31,1.123472179976457
